Category,Subcategory,Command Name,Description,Example
File Permissions & Ownership,Ownership,chgrp,Change file group,chgrp groupname file.txt
User & Group Management,User Management,useradd,Create new user account,useradd -m -s /bin/bash username
User & Group Management,User Management,usermod,Modify user account properties,usermod -aG sudo username
User & Group Management,User Management,userdel,Delete user account,userdel -r username
User & Group Management,User Management,passwd,Set or change user password,passwd username
User & Group Management,User Management,whoami,Display current user,whoami
User & Group Management,User Management,id,Display user ID and group ID,id username
User & Group Management,User Management,groups,Show groups user belongs to,groups username
User & Group Management,User Management,su,Switch user (substitute user),su - username
User & Group Management,User Management,sudo,Execute command with root privileges,sudo apt-get install package
User & Group Management,User Management,finger,Display user information,finger username
User & Group Management,Group Management,groupadd,Create new group,groupadd groupname
User & Group Management,Group Management,groupmod,Modify group properties,groupmod -n newname oldname
User & Group Management,Group Management,groupdel,Delete group,groupdel groupname
Process Management,Process Information,ps,Display process status,ps aux
Process Management,Process Information,ps aux,List all running processes,ps aux | grep python
Process Management,Process Information,top,Display real-time system processes,top
Process Management,Process Information,htop,Interactive process viewer (better than top),htop
Process Management,Process Information,pstree,Display process tree,pstree -p
Process Management,Process Information,jobs,List current shell jobs,jobs -l
Process Management,Process Information,fg,Bring job to foreground,fg %1
Process Management,Process Information,bg,Run job in background,bg %1
Process Management,Process Information,wait,Wait for process to complete,wait PID
Process Management,Process Control,kill,Send signal to process,kill -15 PID
Process Management,Process Control,killall,Kill all processes by name,killall firefox
Process Management,Process Control,pkill,Kill process by pattern,pkill -f 'python script'
Process Management,Process Control,nice,Start process with different priority,nice -n 10 command
Process Management,Process Control,renice,Change process priority,renice -n 5 -p PID
Process Management,Process Control,nohup,Run command immune to hangups,nohup python script.py &
Process Management,Process Control,disown,Remove job from shell control,disown %1
Process Management,Process Control,exec,Replace current shell with command,exec python script.py
System Information,System Status,uname,Display system information,uname -a
System Information,System Status,hostnamectl,View/set system hostname,hostnamectl set-hostname newname
System Information,System Status,uptime,Show system uptime and load,uptime
System Information,System Status,date,Display/set system date and time,date
System Information,System Status,cal,Display calendar,cal 2025
System Information,System Status,df,Display disk space usage,df -h
System Information,System Status,du,Display directory size,du -sh /home
System Information,System Status,free,Show memory usage,free -h
System Information,System Status,vmstat,Virtual memory statistics,vmstat 1 5
System Information,System Status,lsof,List open files,lsof -i :8080
System Information,System Status,dmesg,Display kernel ring buffer,dmesg | tail -n 20
System Information,Hardware Info,lsblk,List block devices,"lsblk -o NAME,SIZE,TYPE"
System Information,Hardware Info,lscpu,Display CPU information,lscpu
System Information,Hardware Info,lspci,List PCI devices,lspci
System Information,Hardware Info,lsusb,List USB devices,lsusb
System Information,Hardware Info,hwinfo,Display hardware information,hwinfo --short
Disk & Storage,Disk Management,fdisk,Partition management tool,sudo fdisk -l
Disk & Storage,Disk Management,parted,GNU parted - partition editor,sudo parted /dev/sda
Disk & Storage,Disk Management,mount,Mount filesystem,sudo mount /dev/sda1 /mnt
Disk & Storage,Disk Management,umount,Unmount filesystem,sudo umount /mnt
Disk & Storage,Disk Management,fsck,Filesystem check and repair,sudo fsck /dev/sda1
Disk & Storage,Disk Management,mkfs,Create filesystem,sudo mkfs.ext4 /dev/sda1
Disk & Storage,Disk Management,dd,Copy/convert data at low level,sudo dd if=/dev/sda of=backup.img
Networking,Network Info,ifconfig,Display network interface config,ifconfig eth0
Networking,Network Info,ip,"Show/manipulate routing, devices, policy",ip addr show
Networking,Network Info,hostname,Display or set hostname,hostname -I
Networking,Network Info,netstat,Display network statistics,netstat -an
Networking,Network Info,ss,Socket statistics (replacement for netstat),ss -tuln
Networking,Network Info,arp,Display ARP cache,arp -a
Networking,Network Info,route,Display/modify routing table,route -n
Networking,Network Info,iw,Wireless device configuration,iw dev
Networking,Network Operations,ping,Test connectivity to host,ping -c 4 google.com
Networking,Network Operations,traceroute,Trace network path to host,traceroute google.com
Networking,Network Operations,tracepath,Trace path to network host,tracepath -m 20 google.com
Networking,Network Operations,dig,Domain information groper (DNS lookup),dig google.com
Networking,Network Operations,nslookup,Query DNS,nslookup google.com
Networking,Network Operations,whois,Query WHOIS database,whois google.com
Networking,Network Operations,curl,Transfer data using URL,curl -O https://example.com/file
Networking,Network Operations,wget,Download files from web,wget -r https://example.com
Networking,Network Operations,nc,Netcat - network utility,nc -l -p 5000
Networking,SSH & Remote,ssh,Secure shell remote login,ssh user@host.com
Networking,SSH & Remote,ssh-keygen,Generate SSH key pair,ssh-keygen -t rsa -b 4096
Networking,SSH & Remote,scp,Secure copy files over SSH,scp file.txt user@host:/path
Networking,SSH & Remote,sftp,Secure FTP,sftp user@host.com
Networking,SSH & Remote,ssh-copy-id,Copy SSH public key to server,ssh-copy-id user@host.com
Networking,SSH & Remote,ssh-agent,SSH private key agent,ssh-agent bash
Networking,SSH & Remote,telnet,Remote login (unencrypted),telnet example.com 23
Networking,SSH & Remote,ftp,File Transfer Protocol,ftp ftp.example.com
Compression & Archiving,Compression,gzip,Compress files with gzip,gzip file.txt
Compression & Archiving,Compression,gunzip,Decompress gzip files,gunzip file.txt.gz
Compression & Archiving,Compression,bzip2,Compress with bzip2,bzip2 file.txt
Compression & Archiving,Compression,bunzip2,Decompress bzip2 files,bunzip2 file.txt.bz2
Compression & Archiving,Compression,xz,Compress with xz (best compression),xz file.txt
Compression & Archiving,Compression,unxz,Decompress xz files,unxz file.txt.xz
Compression & Archiving,Compression,zip,Compress to zip format,zip archive.zip file1 file2
Compression & Archiving,Compression,unzip,Decompress zip files,unzip archive.zip
Compression & Archiving,Archiving,tar,Archive files/directories,tar -cvf archive.tar /path
Compression & Archiving,Archiving,tar -xvf,Extract tar archive,tar -xvf archive.tar
Compression & Archiving,Archiving,tar -tvf,List tar archive contents,tar -tvf archive.tar
Compression & Archiving,Archiving,tar -czf,Create gzip-compressed tar,tar -czf archive.tar.gz /path
Compression & Archiving,Archiving,tar -xzf,Extract gzip-compressed tar,tar -xzf archive.tar.gz
Compression & Archiving,Archiving,tar -cjf,Create bzip2-compressed tar,tar -cjf archive.tar.bz2 /path
Text Editors,Editors,nano,Simple text editor,nano file.txt
Text Editors,Editors,vi,VI text editor,vi file.txt
Text Editors,Editors,vim,VI Improved text editor,vim file.txt
Text Editors,Editors,emacs,Emacs text editor,emacs file.txt
Text Editors,Editors,gedit,GNOME text editor,gedit file.txt
Text Editors,Editors,sed,Stream editor (non-interactive),sed -i 's/old/new/g' file.txt
Package Management,APT (Debian/Ubuntu),apt-get update,Update package list,sudo apt-get update
Package Management,APT (Debian/Ubuntu),apt-get upgrade,Upgrade installed packages,sudo apt-get upgrade
Package Management,APT (Debian/Ubuntu),apt-get install,Install package,sudo apt-get install package_name
Package Management,APT (Debian/Ubuntu),apt-get remove,Remove package,sudo apt-get remove package_name
Package Management,APT (Debian/Ubuntu),apt-get autoremove,Remove unused dependencies,sudo apt-get autoremove
Package Management,APT (Debian/Ubuntu),apt search,Search for packages,apt search python3
Package Management,APT (Debian/Ubuntu),apt show,Show package information,apt show package_name
Package Management,YUM/DNF (RedHat/CentOS),yum install,Install package (older YUM),sudo yum install package_name
Package Management,YUM/DNF (RedHat/CentOS),yum update,Update packages (YUM),sudo yum update
Package Management,YUM/DNF (RedHat/CentOS),dnf install,Install package (newer DNF),sudo dnf install package_name
Package Management,YUM/DNF (RedHat/CentOS),dnf update,Update packages (DNF),sudo dnf update
Package Management,YUM/DNF (RedHat/CentOS),dnf search,Search packages,dnf search package_name
System Services,Service Management,systemctl start,Start a service,sudo systemctl start apache2
System Services,Service Management,systemctl stop,Stop a service,sudo systemctl stop apache2
System Services,Service Management,systemctl restart,Restart a service,sudo systemctl restart apache2
System Services,Service Management,systemctl reload,Reload service config,sudo systemctl reload apache2
System Services,Service Management,systemctl enable,Enable service on boot,sudo systemctl enable apache2
System Services,Service Management,systemctl disable,Disable service on boot,sudo systemctl disable apache2
System Services,Service Management,systemctl status,Check service status,systemctl status apache2
System Services,Service Management,systemctl list-units,List all services,systemctl list-units --type=service
System Services,System Control,shutdown,Shutdown the system,sudo shutdown -h now
System Services,System Control,reboot,Reboot the system,sudo reboot
System Services,System Control,poweroff,Power off the system,sudo poweroff
System Services,System Control,systemctl suspend,Suspend system,systemctl suspend
System Services,System Control,systemctl hibernate,Hibernate system,systemctl hibernate
Logging & Monitoring,Log Viewing,journalctl,View systemd journal logs,journalctl -xe
Logging & Monitoring,Log Viewing,journalctl -f,Follow journal output,journalctl -f -u apache2
Logging & Monitoring,Log Viewing,tail -f,Follow file updates (for logs),tail -f /var/log/syslog
Logging & Monitoring,Log Viewing,less /var/log,View specific log file,less /var/log/auth.log
Logging & Monitoring,Monitoring,watch,Execute command periodically,watch -n 1 'df -h'
Logging & Monitoring,Monitoring,iotop,Monitor I/O usage by process,sudo iotop
Logging & Monitoring,Monitoring,iftop,Monitor network bandwidth,sudo iftop
Logging & Monitoring,Monitoring,nethogs,Monitor per-process network usage,sudo nethogs
Logging & Monitoring,Monitoring,atop,Advanced system monitoring,atop
Scheduling & Automation,Task Scheduling,crontab -e,Edit cron jobs,crontab -e
Scheduling & Automation,Task Scheduling,crontab -l,List cron jobs,crontab -l
Scheduling & Automation,Task Scheduling,crontab -r,Remove cron jobs,crontab -r
Scheduling & Automation,Task Scheduling,at,Schedule one-time command,at 14:30 < script.sh
Scheduling & Automation,Task Scheduling,atq,List at scheduled jobs,atq
Scheduling & Automation,Task Scheduling,atrm,Remove at scheduled job,atrm 1
Search & Replace,Text Search,grep -r,Recursively search in files,grep -r 'pattern' /path
Search & Replace,Text Search,grep -i,Case-insensitive search,grep -i 'pattern' file.txt
Search & Replace,Text Search,grep -v,Invert match (show non-matches),grep -v 'pattern' file.txt
Search & Replace,Text Search,grep -E,Use extended regex,grep -E '^[0-9]+' file.txt
Search & Replace,Text Search,grep -c,Count matching lines,grep -c 'pattern' file.txt
Search & Replace,Text Search,grep -n,Show line numbers,grep -n 'pattern' file.txt
Search & Replace,Text Search,grep -o,Show only matching part,grep -o 'pattern' file.txt
Environment & Variables,Environment,env,Display environment variables,env
Environment & Variables,Environment,printenv,Print environment variables,printenv
Environment & Variables,Environment,echo $VAR,Display specific variable,echo $HOME
Environment & Variables,Environment,export,Set environment variable,export MY_VAR='value'
Environment & Variables,Environment,set,Display shell variables,set
Environment & Variables,Environment,unset,Unset variable,unset MY_VAR
Environment & Variables,Environment,source,Execute script in current shell,source ~/.bashrc
Other Utilities,Utilities,man,Display command manual,man ls
Other Utilities,Utilities,info,Display command info (alternative to man),info ls
Other Utilities,Utilities,whatis,Brief description of command,whatis ls
Other Utilities,Utilities,whereis,"Locate command, source, and manual",whereis ls
Other Utilities,Utilities,which,Show full path to command,which python3
Other Utilities,Utilities,type,Show how command would be interpreted,type ls
Other Utilities,Utilities,alias,Create command alias,alias ll='ls -l'
Other Utilities,Utilities,unalias,Remove command alias,unalias ll
Other Utilities,Utilities,history,Display command history,history
Other Utilities,Utilities,clear,Clear terminal screen,clear
Other Utilities,Utilities,tee,Send output to file and stdout,cat file.txt | tee output.txt
Other Utilities,Utilities,xargs,Build and execute command lines,find . -name '*.txt' | xargs rm
Other Utilities,Utilities,parallel,Execute parallel jobs,parallel echo ::: 1 2 3
